s4_equi_class,s4_equi_char,pdt_field_name
FSTNVO,FSTN_RATED_VOLTAGE_UNITS,Rated Voltage Units
LSTNCO,IP_RATING,IP Rating
LSTNCO,LSTN_SIGNAL_TYPE,Output Signal Type
LSTNCO,LSTN_OUTPUT_TYPE,Output Type
LSTNCO,LSTN_RANGE_MAX,Range Max
LSTNCO,LSTN_RANGE_MIN,Range Min
LSTNCO,LSTN_RANGE_UNITS,Range Unit
LSTNCO,LSTN_SUPPLY_VOLTAGE,
LSTNCO,LSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
LSTNCP,IP_RATING,IP Rating
LSTNCP,LSTN_SIGNAL_TYPE,Output Signal Type
LSTNCP,LSTN_OUTPUT_TYPE,Output Type
LSTNCP,LSTN_RANGE_MAX,Range Max
LSTNCP,LSTN_RANGE_MIN,Range Min
LSTNCP,LSTN_RANGE_UNITS,Range Unit
LSTNCP,LSTN_SUPPLY_VOLTAGE,
LSTNCP,LSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
LSTNFL,IP_RATING,IP Rating
LSTNFL,LSTN_SIGNAL_TYPE,Output Signal Type
LSTNFL,LSTN_RANGE_MAX,Range Max
LSTNFL,LSTN_RANGE_MIN,Range Min
LSTNFL,LSTN_RANGE_UNITS,Range Unit
LSTNFL,LSTN_SUPPLY_VOLTAGE,
LSTNFL,LSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
LSTNME,IP_RATING,IP Rating
LSTNME,LSTN_SIGNAL_TYPE,Output Signal Type
LSTNME,LSTN_OUTPUT_TYPE,Output Type
LSTNME,LSTN_RANGE_MAX,Range Max
LSTNME,LSTN_RANGE_MIN,Range Min
LSTNME,LSTN_RANGE_UNITS,Range Unit
LSTNME,LSTN_SUPPLY_VOLTAGE,
LSTNME,LSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
LSTNMG,IP_RATING,IP Rating
LSTNMG,LSTN_SIGNAL_TYPE,Output Signal Type
LSTNMG,LSTN_OUTPUT_TYPE,Output Type
LSTNMG,LSTN_RANGE_MAX,Range Max
LSTNMG,LSTN_RANGE_MIN,Range Min
LSTNMG,LSTN_RANGE_UNITS,Range Unit
LSTNMG,LSTN_SUPPLY_VOLTAGE,
LSTNMG,LSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
LSTNMISC,LSTN_FLOAT_GUIDANCE,Float Guidance
LSTNMISC,IP_RATING,IP Rating
LSTNMISC,LSTN_SIGNAL_TYPE,Output Signal Type
LSTNMISC,LSTN_OUTPUT_TYPE,Output Type
LSTNMISC,LSTN_RANGE_MAX,Range Max
LSTNMISC,LSTN_RANGE_MIN,Range Min
LSTNMISC,LSTN_RANGE_UNITS,Range Unit
LSTNMISC,LSTN_RELAY_1_FUNCTION,
LSTNMISC,LSTN_RELAY_1_OFF_LEVEL_M,
LSTNMISC,LSTN_RELAY_1_ON_LEVEL_M,
LSTNMISC,LSTN_RELAY_2_FUNCTION,
LSTNMISC,LSTN_RELAY_2_OFF_LEVEL_M,
LSTNMISC,LSTN_RELAY_2_ON_LEVEL_M,
LSTNMISC,LSTN_RELAY_3_FUNCTION,
LSTNMISC,LSTN_RELAY_3_OFF_LEVEL_M,
LSTNMISC,LSTN_RELAY_3_ON_LEVEL_M,
LSTNMISC,LSTN_RELAY_4_FUNCTION,
LSTNMISC,LSTN_RELAY_4_OFF_LEVEL_M,
LSTNMISC,LSTN_RELAY_4_ON_LEVEL_M,
LSTNMISC,LSTN_RELAY_5_FUNCTION,
LSTNMISC,LSTN_RELAY_5_OFF_LEVEL_M,
LSTNMISC,LSTN_RELAY_5_ON_LEVEL_M,
LSTNMISC,LSTN_RELAY_6_FUNCTION,
LSTNMISC,LSTN_RELAY_6_OFF_LEVEL_M,
LSTNMISC,LSTN_RELAY_6_ON_LEVEL_M,
LSTNMISC,LSTN_SET_TO_SNORT,Set to Snort
LSTNMISC,LSTN_SIGNAL_GUIDANCE,Signal Guidance
LSTNMISC,LSTN_SPECIFIC_ORDER_CODE,Specific Order Code
LSTNMISC,LSTN_SUPPLY_VOLTAGE,
LSTNMISC,LSTN_SUPPLY_VOLTAGE_UNITS,Supply Voltage Units
LSTNMISC,LSTN_TRANSDUCER_MODEL,Transducer Model
LSTNMISC,LSTN_TRANSDUCER_SERIAL_NO,Transducer Serial No
LSTNMISC,LSTN_TRANSMITTER_MODEL,Transmitter Model
LSTNMISC,LSTN_TRANSMITTER_SERIAL_NO,Transmitter Serial No
